id,main_category,category,sub_category,item_name,standard,unit,crew_composition_text,productivity_type,skill_worker_1_pum,skill_worker_1_count,skill_worker_2_pum,skill_worker_2_count,special_worker_pum,special_worker_count,common_worker_pum,common_worker_count,equipment_pum,equipment_count,pumsam_workload,molit_workload
203,RC공사,철근 현장,조립(토목),"6-2-3 현장조립('08, '14, '22, '24년 보완)",토목 Type-Ⅱ-1 기준,ton,"철근공 5인, 보통인부 2인 기준",인력 생산성,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.6,2.5
225,RC공사,타설,콘크리트 펌프카,"6-1-4 콘크리트 펌프차 타설('08, '09, '17, '22, '24년 보완)","슬럼프: 15cm, 시설유형 TYPE-Ⅰ, 현장조건(f2) TYPE-Ⅱ (무근구조물)",㎥,콘크리트 펌프카 1대 기준,장비 생산성,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,1.0,189.0,189.0
227,RC공사,타설,콘크리트 펌프카,"6-1-4 콘크리트 펌프차 타설('08, '09, '17, '22, '24년 보완)","슬럼프: 15cm, 시설유형 TYPE-Ⅱ, 현장조건(f2) TYPE-Ⅱ (철근구조물)",㎥,콘크리트 펌프카 1대 기준,장비 생산성,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,1.0,130.0,130.0
226,RC공사,타설,콘크리트 펌프카,"6-1-4 콘크리트 펌프차 타설('08, '09, '17, '22, '24년 보완)","슬럼프: 15cm, 시설유형 Type-Ⅱ, 현장조건 Type-Ⅰ기준 (철근구조물)",㎥,콘크리트 펌프카 1대 기준,장비 생산성,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,1.0,156.0,182.0
49,가설공사,동바리,"건축,기계설비","2-6-2 강관 동바리 설치 및 해체(건축, 기계설비)('16년 보완)","3.5m 초과 ~ 4.2m 이하, 간격 0.6m~0.9m",㎡,"형틀목공 3인, 보통인부 1인 기준",인력 생산성,0.06,5.0,0.0,0.0,0.0,0.0,0.01,1.0,0.0,0.0,55.0,0.0
48,가설공사,동바리,"건축,기계설비","2-6-2 강관 동바리 설치 및 해체(건축, 기계설비)('16년 보완)","3.5m이하, 간격 0.6m~0.9m",㎡,"형틀목공 3인, 보통인부 1인 기준",인력 생산성,0.05,5.0,0.0,0.0,0.0,0.0,0.01,2.0,0.0,0.0,65.0,100.0
54,가설공사,동바리,시스템 동바리,"2-6-3 시스템 동바리 설치 및 해체('01년 신설, '09, '16년 보완)",설치: 10m 초과 ∼ 20m 이하,공㎡,"형틀목공 4인, 보통인부 1인 기준 크레인(15ton) 0.5대 기준",인력 생산성,0.68,4.0,0.0,0.0,0.0,0.0,0.21,1.0,0.25,1.0,105.0,0.0
56,가설공사,동바리,시스템 동바리,"2-6-3 시스템 동바리 설치 및 해체('01년 신설, '09, '16년 보완)",설치: 20m 초과 ~ 30m 이하,공㎡,"형틀목공 4인, 보통인부 1인 기준 크레인(20ton) 0.5대 기준",인력 생산성,0.87,4.0,0.0,0.0,0.0,0.0,0.27,1.0,0.28,1.0,85.0,0.0
50,가설공사,동바리,시스템 동바리,"2-6-3 시스템 동바리 설치 및 해체('01년 신설, '09, '16년 보완)","설치: 5m 이하, 간격 0.6m~1.2m",공㎡,"형틀목공 4인, 보통인부 1인 기준",인력 생산성,0.58,4.0,0.0,0.0,0.0,0.0,0.18,1.0,0.17,1.0,130.0,69.0
52,가설공사,동바리,시스템 동바리,"2-6-3 시스템 동바리 설치 및 해체('01년 신설, '09, '16년 보완)","설치: 5m 초과 ~ 10m이하, 간격 0.6m~1.2m",공㎡,"형틀목공 4인, 보통인부 1인 기준 크레인(15ton) 0.5대 기준",인력 생산성,0.58,4.0,0.0,0.0,0.0,0.0,0.18,1.0,0.17,1.0,120.0,69.0
